address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),rate_clean,approx_cost_clean,cost_bracket
"1st Floor, Vega City Mall, Srinivas Industrial Estate, Bilekahalli, Bannerghatta Road, Bangalore",Cookie Man,Yes,No,NEW,0,+91 7259211420,Bannerghatta Road,Dessert Parlor,Not Specified,Bakery,150,Delivery,Bannerghatta Road,,150.0,Budget (< ₹300)
"24, Ground floor, 3rd B Cross Road, 18th Main Road, Kuvempu Nagar, Stage 2, BTM, Bangalore",Hunger2Eat,Yes,No,3.8/5,27,+91 9739155657,BTM,Quick Bites,Not Specified,"Biryani, Fast Food, North Indian",400,Delivery,Bannerghatta Road,3.8,400.0,Mid-Tier (₹300 - ₹700)
"7th Cross, Near ICICI Bank, 15th Main, 2nd Stage, BTM, Bangalore, Bengaluru",BBQ Ride 46,Yes,No,3.4/5,7,+91 8886780880,South Bangalore,Food Truck,Not Specified,BBQ,200,Delivery,Bannerghatta Road,3.4,200.0,Budget (< ₹300)
"1, 1st Floor, BTM Complex, 9th Main Road, 1st Stage, BTM, Bangalore",Bawarchi Inn,Yes,No,3.1/5,140,"+91 8197022223
+91 9032216666",BTM,Casual Dining,"Dum Biryani, Chicken Biryani, Rice, Roti, Mutton Biryani","North Indian, Biryani, Andhra, Chinese",600,Delivery,Bannerghatta Road,3.1,600.0,Mid-Tier (₹300 - ₹700)
"294, 4th Floor, 7th Main, 7th Cross, Mico Employees Griha Nirmana Sangha Layout, 2nd Stage, BTM, Bangalore",Ruh's Cafe,Yes,No,4.1/5,463,"+91 9986271611
+91 9844803695",BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese",500,Delivery,Bannerghatta Road,4.1,500.0,Mid-Tier (₹300 - ₹700)
"767-768, 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bangalore",Eatery Have U Been,Yes,No,3.4/5,36,+91 9743524748,BTM,"Cafe, Quick Bites",Not Specified,"Cafe, Chinese, Fast Food, Burger, North Indian",500,Delivery,Bannerghatta Road,3.4,500.0,Mid-Tier (₹300 - ₹700)
"Near Reliance Mart, Shabari Complex, Arakere Mico Layout, Off B G Road, Bannerghatta Road, Bangalore",Mojo Pizza - 2X Toppings,Yes,No,4.2/5,384,022 33252828,Bannerghatta Road,"Takeaway, Delivery","Chocolava Cake, Pepperoni Pizza, Veggie Pizza, Bbq Chicken, Paneer Tikka, Cheesy Garlic Bread, Cheese Burst Crust",Pizza,600,Delivery,Bannerghatta Road,4.2,600.0,Mid-Tier (₹300 - ₹700)
"Opposite Gottigere Lake Road, Bannerghatta Road, Bangalore",Upahar Banashree,Yes,No,3.4/5,18,"+91 9448724485
+91 9164890537",Bannerghatta Road,Quick Bites,Not Specified,"South Indian, North Indian",400,Delivery,Bannerghatta Road,3.4,400.0,Mid-Tier (₹300 - ₹700)
"No 4, Ground Floor, 29th Main Road, Kuvempu Nagar, Stage 2, BTM Layout, Bengaluru",Petoo,Yes,No,NEW,0,+91 8049573886,BTM,Quick Bites,Not Specified,"North Indian, Fast Food, Beverages",400,Delivery,Bannerghatta Road,,400.0,Mid-Tier (₹300 - ₹700)
"Nandhini Hotel Road, KR Layout, Phase 6, JP Nagar, Bangalore",Me And My Cake,Yes,No,3.1/5,8,+91 9036070410,JP Nagar,Takeaway,Not Specified,"Bakery, Desserts",500,Delivery,Bannerghatta Road,3.1,500.0,Mid-Tier (₹300 - ₹700)
"E/1/145 BTS layout, Arekere, Bannerghatta Road, Bangalore",Bhojon Tripti,Yes,No,2.9/5,24,+91 8904438942,Bannerghatta Road,Quick Bites,Not Specified,"Bengali, North Indian",300,Delivery,Bannerghatta Road,2.9,300.0,Mid-Tier (₹300 - ₹700)
"33, 15th Cross, 7th Main, 2nd Stage, BTM, Bangalore",New South Corner,Yes,No,3.7/5,20,"+91 9964564245
+91 9986468077",BTM,Quick Bites,Not Specified,"South Indian, North Indian, Chinese",300,Delivery,Bannerghatta Road,3.7,300.0,Mid-Tier (₹300 - ₹700)
"202, 6th Cross, Lakshmi Layout, Behind Arekere, Mico Layout, Bannerghatta Road, Bangalore",Khana Khazana,Yes,No,3.7/5,22,+91 8310973635,Bannerghatta Road,Delivery,Not Specified,North Indian,400,Delivery,Bannerghatta Road,3.7,400.0,Mid-Tier (₹300 - ₹700)
"1, 1st Floor, BTM Complex, 9th Main Road, Opposite Reliance Fresh, 1st Stage, BTM, Bangalore",China Tang,Yes,No,3.7/5,41,080 40926563,BTM,"Takeaway, Delivery",Not Specified,Chinese,600,Delivery,Bannerghatta Road,3.7,600.0,Mid-Tier (₹300 - ₹700)
"14/1/148/2A, Ground Floor, Near HSBC, Bannerghatta Road, Bangalore",California Burrito,No,No,4.0/5,177,080 39515101,Bannerghatta Road,Quick Bites,"Rice Bowl, Nachos, Rice Bowls, Salad, California Burrito, Tacos, Salads","Mexican, Fast Food",400,Delivery,Bannerghatta Road,4.0,400.0,Mid-Tier (₹300 - ₹700)
"24/3, 28th Main, 18th Cross, A R Layout, Near Royal School, 6th Phase JP Nagar, Bangalore",Hungry Haters,Yes,No,NEW,0,"+91 8041214046
+91 9742363313",JP Nagar,Takeaway,Not Specified,"Chinese, North Indian",300,Delivery,Bannerghatta Road,,300.0,Mid-Tier (₹300 - ₹700)
"5, 100 Feet Ring Road, Opposite Reliance Fresh, 1st Stage, BTM, Bangalore",Tandoor Garden,Yes,No,3.6/5,70,+91 9141678224,BTM,Quick Bites,"Tandoori Chicken, Butter Naan, Kadai Paneer, Pepper Chicken","North Indian, Chinese, Kebab",350,Delivery,Bannerghatta Road,3.6,350.0,Mid-Tier (₹300 - ₹700)
"690/8, 14th Main, 15th Cross, 2nd Phase, JP Nagar, Bangalore",Caffe Pascucci,Yes,Yes,4.0/5,790,080 41200431,JP Nagar,Casual Dining,"Coffee, Cappuccino, Sandwiches, Salads, Asparagus Soup, Woodfire Pizza, Bruschettas","Continental, Italian, Beverages","1,300",Delivery,Bannerghatta Road,4.0,1300.0,Upper-Mid (₹700 - ₹1500)
"22, Ground Floor, 7th Cross, 1st B Main, 2nd Stage, BTM, Bangalore",Freeze It,Yes,No,3.6/5,6,+91 9916992866,BTM,Dessert Parlor,Not Specified,Ice Cream,300,Delivery,Bannerghatta Road,3.6,300.0,Mid-Tier (₹300 - ₹700)
"175/176, Bannerghatta Road, Bangalore",Meal Square,Yes,No,3.2/5,8,+91 9620768068,Bannerghatta Road,Delivery,Not Specified,"North Indian, Chinese",600,Delivery,Bannerghatta Road,3.2,600.0,Mid-Tier (₹300 - ₹700)
"135/15, 100 Feet Ring Road, 3rd Phase, JP Nagar, Bangalore",Chaitanya Cafe,Yes,No,3.9/5,92,+91 9902125334,JP Nagar,Quick Bites,"Coffee, Pav Bhaji, Masala Dosa, Vada Sambar","South Indian, North Indian, Fast Food",300,Delivery,Bannerghatta Road,3.9,300.0,Mid-Tier (₹300 - ₹700)
"Opposite Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Anand Sweets and Savouries,No,No,4.1/5,131,"080 26488992
080 40906629",Bannerghatta Road,Sweet Shop,"Chole Bhature, Thali, Papdi Chaat, Shahi Paneer","Mithai, Street Food",400,Delivery,Bannerghatta Road,4.1,400.0,Mid-Tier (₹300 - ₹700)
"6th Phase, JP Nagar, Bangalore",Narayany Pure Veg,Yes,No,,0,+91 8310783258,JP Nagar,Quick Bites,Not Specified,"Street Food, North Indian",250,Delivery,Bannerghatta Road,,250.0,Budget (< ₹300)
"99, 100ft Ring Road, 2nd Colony, 1st Stage, BTM, Bangalore",Tasty Jigarthanda,Yes,No,3.4/5,10,+91 9790447882,BTM,Beverage Shop,Not Specified,"Beverages, Ice Cream",150,Delivery,Bannerghatta Road,3.4,150.0,Budget (< ₹300)
"1231/35/2, 24th Main, Opposite Brigade Palm Springs, 7th Phase, JP Nagar, Bangalore",Berrylicious,Yes,No,3.8/5,89,+91 8884511222,JP Nagar,Dessert Parlor,"Macaroon, Brownie Sundae, Waffles","Ice Cream, Desserts, Bakery",400,Delivery,Bannerghatta Road,3.8,400.0,Mid-Tier (₹300 - ₹700)
"#6, 12th main, N.S Palya, lakeroad, BTM 2nd stage, Bangalore 560076",RCS Kitchen,Yes,No,3.3/5,34,+91 9886734935,BTM,Quick Bites,Not Specified,Continental,500,Delivery,Bannerghatta Road,3.3,500.0,Mid-Tier (₹300 - ₹700)
"1424/81, 9th Block East, South End, A Cross, Jayanagar, Bangalore",Pappu Da Dhaba,Yes,No,3.0/5,57,+91 6361252138,Jayanagar,Quick Bites,"Lassi, Chai, Paratha","North Indian, Fast Food, Beverages, Momos",400,Delivery,Bannerghatta Road,3.0,400.0,Mid-Tier (₹300 - ₹700)
"Unit 19, 3rd Floor, 172/1, Vega City Mall, Bannerghatta Road, Bangalore",Smoke - The Sizzler House,Yes,No,3.8/5,92,+91 9620991924,Bannerghatta Road,Food Court,"Chicken Sizzler, Garlic Bread, Potato Wedges, Vanilla Ice Cream, Pasta, French Fries","Continental, Chinese, Thai, Italian, BBQ, Steak","1,100",Delivery,Bannerghatta Road,3.8,1100.0,Upper-Mid (₹700 - ₹1500)
"Door No 549, 9th Cross, JP Nagar 3rd Phase, Opposite Sneha Dentel Care, JP Nagar, Bangalore",Sandwich Shop,Yes,No,2.9/5,47,"+91 8147721407
+91 9008485177",JP Nagar,Delivery,Not Specified,"Fast Food, Burger, Sandwich",400,Delivery,Bannerghatta Road,2.9,400.0,Mid-Tier (₹300 - ₹700)
"#16, 6th A Cross, 16th Main Road, Opposite Post Office, BTM Stage 2, BTM, Bangalore",Joon Restaurant,Yes,No,3.7/5,31,"+91 8049585757
+91 9900606662",BTM,Quick Bites,Not Specified,"Arabian, Chinese, North Indian, Kerala, Juices",400,Delivery,Bannerghatta Road,3.7,400.0,Mid-Tier (₹300 - ₹700)
"26th A Main, 9th Block, Jayanagar, Bangalore",Shree Udupi Grand,Yes,No,3.8/5,14,+91 9035112266,Jayanagar,Casual Dining,Not Specified,"South Indian, North Indian, Chinese",600,Delivery,Bannerghatta Road,3.8,600.0,Mid-Tier (₹300 - ₹700)
"5, 16th Main, 2nd Stage, BTM, Bangalore",Snack Knack,Yes,No,3.0/5,36,"+91 9535092716
+91 9880941836",BTM,Quick Bites,Not Specified,"North Indian, Chinese",200,Delivery,Bannerghatta Road,3.0,200.0,Budget (< ₹300)
"55, 4th Floor, 15th Cross, 19th Main, 2nd Phase, JP Nagar, Bangalore",Chung Wah Opus,Yes,No,3.0/5,57,"080 65788688
080 65788588",JP Nagar,Casual Dining,"Rice, Noodles, Chop Suey","Chinese, Thai",650,Delivery,Bannerghatta Road,3.0,650.0,Mid-Tier (₹300 - ₹700)
"357/4, Suguma Nagar, Opposite DLF New Town, Begur Road, Bannerghatta Road, Bangalore",Chef & Dine,Yes,No,3.2/5,57,"+91 9686660374
+91 8040981348",Bannerghatta Road,Casual Dining,Not Specified,"North Indian, Arabian, Fast Food",650,Delivery,Bannerghatta Road,3.2,650.0,Mid-Tier (₹300 - ₹700)
"6, 29th Main, 12 A Main Road, NS Palya, BTM 2nd Stage, Bangalore",GFC Biryani,Yes,No,,0,+91 9066431367,BTM,Quick Bites,Not Specified,Biryani,300,Delivery,Bannerghatta Road,,300.0,Mid-Tier (₹300 - ₹700)
"123, Opposite Royal School, 5th Phase, 24th Main JP Nagar, Bangalore",Once In Nature,Yes,No,3.7/5,37,+91 9986200051,JP Nagar,Quick Bites,Not Specified,Healthy Food,300,Delivery,Bannerghatta Road,3.7,300.0,Mid-Tier (₹300 - ₹700)
"5th Main, Arekere Mico Layout, Bannerghatta Road, Bangalore",Manjushree Upahara,Yes,No,3.8/5,31,+91 9481247729,Bannerghatta Road,Quick Bites,Not Specified,South Indian,150,Delivery,Bannerghatta Road,3.8,150.0,Budget (< ₹300)
"Opposite Sai Baba Temple, 80 Feet Main Road, Arekere, Bannerghatta Road, Bangalore",Hotel Annapoorna,Yes,No,3.2/5,9,+91 9980594426,Bannerghatta Road,Quick Bites,Not Specified,"South Indian, Chinese, North Indian, Seafood",400,Delivery,Bannerghatta Road,3.2,400.0,Mid-Tier (₹300 - ₹700)
"103/25, 2nd Main Road, Puttenhalli, 7th Phase, JP Nagar, Bangalore",Dream a Dozen,Yes,No,4.3/5,133,+91 8861739269,JP Nagar,Delivery,"Cup Cake, Cake Pops, Chocolate Truffle Cake, Brownie","Bakery, Desserts",300,Delivery,Bannerghatta Road,4.3,300.0,Mid-Tier (₹300 - ₹700)
"989, Ambika Corner, DC Road, Off Bannerghatta Road, Bilekahalli, Bannerghatta Road, Bangalore",Bread Crumbs Bakery,No,No,4.0/5,164,080 49652927,Bannerghatta Road,Bakery,"Samosa, Egg Puff, Paneer Puff, Chocolate Truffle","Desserts, Bakery",250,Delivery,Bannerghatta Road,4.0,250.0,Budget (< ₹300)
"175-176, Dollars Colony, Phase 4, JP Nagar, Bangalore",Nite Out,Yes,No,3.9/5,161,"080 48542046
+91 9513771133",JP Nagar,Delivery,"Biryani, Noodles","North Indian, Chinese, Biryani",500,Delivery,Bannerghatta Road,3.9,500.0,Mid-Tier (₹300 - ₹700)
"61, G P Rajarathnam Road, BTS Layout, Arekere, Bannerghatta Road, Bangalore",Le Centre Jeunesse,Yes,No,,0,+91 9035599429,Bannerghatta Road,Quick Bites,Not Specified,Continental,400,Delivery,Bannerghatta Road,,400.0,Mid-Tier (₹300 - ₹700)
"1, 7th Main Road, NS Palya, Stage 2, BTM, Bangalore",Cupcake Bliss,Yes,No,3.5/5,9,+91 8197170008,BTM,Delivery,Not Specified,Bakery,250,Delivery,Bannerghatta Road,3.5,250.0,Budget (< ₹300)
"66, 1st Cross Road, KEB Colony, New Gurappana Palya, 1st Stage, BTM Layout, Bangalore",Armaani Caffe,Yes,No,3.5/5,12,+91 9945756869,BTM,Quick Bites,Not Specified,Fast Food,250,Delivery,Bannerghatta Road,3.5,250.0,Budget (< ₹300)
"6, 80 Feet Road, Nyanappanahalli, Begur Post, Bannerghatta Road, Bangalore",Muddhe Bytes,Yes,No,3.4/5,9,+91 9739213773,Bannerghatta Road,Quick Bites,Not Specified,"South Indian, Biryani",300,Delivery,Bannerghatta Road,3.4,300.0,Mid-Tier (₹300 - ₹700)
"Shop 3, Building 58, Main Road Marenahalli, JP Nagar, Bangalore",The Paratha Stories,Yes,No,NEW,0,+91 9655233303,JP Nagar,Quick Bites,Not Specified,North Indian,250,Delivery,Bannerghatta Road,,250.0,Budget (< ₹300)
"7, Lucky Corner Bulding, Vinaya Nagar, 5th Phase, JP Nagar, Bangalore",Food Court,Yes,No,,0,+91 8884220700,JP Nagar,Quick Bites,Not Specified,"North Indian, Chinese",300,Delivery,Bannerghatta Road,,300.0,Mid-Tier (₹300 - ₹700)
"7 & 8, Kodichikkanahalli Main Road, Bommanahalli, Bangalore",Calvin's,Yes,No,NEW,0,+91 8049525257,Bommanahalli,"Takeaway, Delivery",Not Specified,"Desserts, Italian, Pizza",800,Delivery,Bannerghatta Road,,800.0,Upper-Mid (₹700 - ₹1500)
"Near Nandi Deepa Apartment, Doddakammanahalli, Hulimavu, Bannerghatta Road, Bangalore",Yummy Momos,Yes,No,NEW,0,+91 9590816906,Bannerghatta Road,Quick Bites,Not Specified,"Momos, Tibetan, Chinese",200,Delivery,Bannerghatta Road,,200.0,Budget (< ₹300)
"Ranka Colony, Bilekahalli, Bannerghatta Road, Bangalore",Bombay Kulfis,Yes,No,3.5/5,9,+91 8105842233,Bannerghatta Road,Dessert Parlor,Not Specified,Ice Cream,200,Delivery,Bannerghatta Road,3.5,200.0,Budget (< ₹300)
"23, 3rd Floor, 26th Main Road, Opposite Ragigudda Arch, 9th Block Jayanagar, Bangalore",Willys Top Cafe,Yes,No,4.0/5,308,"+91 7795808555
00 09176703991",Jayanagar,Cafe,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries","Cafe, Continental, Asian",750,Delivery,Bannerghatta Road,4.0,750.0,Upper-Mid (₹700 - ₹1500)
"4th Floor, Opposite Meenakshi Temple, Bannerghatta Road, Bangalore",Mist n Creams,Yes,No,3.7/5,15,+91 9538017864,Bannerghatta Road,Dessert Parlor,Not Specified,Ice Cream,400,Delivery,Bannerghatta Road,3.7,400.0,Mid-Tier (₹300 - ₹700)
"313, 24th Main Road, 6th Phase, JP Nagar, Bangalore",Papacream,Yes,No,3.7/5,17,+91 6362284759,JP Nagar,Dessert Parlor,Not Specified,"Desserts, Ice Cream",350,Delivery,Bannerghatta Road,3.7,350.0,Mid-Tier (₹300 - ₹700)
"45/1-1, 100 Feet Road, 2nd Phase, JP Nagar, Bangalore",Woody's,Yes,No,2.6/5,208,"080 26490999
080 26490888",JP Nagar,Casual Dining,"Curd Rice, Pongal, Coffee, Thali, Noodles, Pav Bhaji, Masala Dosa","Chinese, South Indian, North Indian",650,Delivery,Bannerghatta Road,2.6,650.0,Mid-Tier (₹300 - ₹700)
"35, 16th Main Road, Near Nico Layout, 2nd stage, BTM Bangalore",JP Fish Land,Yes,No,3.6/5,24,+91 9739696066,BTM,Quick Bites,Not Specified,Seafood,300,Delivery,Bannerghatta Road,3.6,300.0,Mid-Tier (₹300 - ₹700)
"8th Floor, Club House, SNN Raj Serenity Apartments, Koppa-Begur Main Road, Yelnahalli, Bannerghatta Road",Pepper Crown Restaurant,Yes,No,3.2/5,7,"+91 8048656705
+91 8884496788",Bannerghatta Road,Casual Dining,Not Specified,"Continental, North Indian, Chinese",700,Delivery,Bannerghatta Road,3.2,700.0,Mid-Tier (₹300 - ₹700)
"206, 30th B Main Road, 6th Phase, JP Nagar, Bangalore",Pizza Paradise,Yes,No,3.6/5,59,"+91 9740120859
+91 7639222248",JP Nagar,Quick Bites,Not Specified,Pizza,500,Delivery,Bannerghatta Road,3.6,500.0,Mid-Tier (₹300 - ₹700)
"Ground Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",Cakeport,Yes,No,,0,+91 9036500001,Bannerghatta Road,Bakery,Not Specified,Bakery,400,Delivery,Bannerghatta Road,,400.0,Mid-Tier (₹300 - ₹700)
"48/4, Opposite Aikya Apartments, Chickakammanahalli, Hulimavu, Bannerghatta Road, Bangalore",The Curry Hut Plus,Yes,No,3.4/5,116,"080 49517195
+91 9632596058",Bannerghatta Road,Casual Dining,"Thai Chicken, Paratha, Mutton Fry","North Indian, South Indian, Chinese",400,Delivery,Bannerghatta Road,3.4,400.0,Mid-Tier (₹300 - ₹700)
"75/1, Hulimavu Gate, Bannerghatta Road, Bangalore",Malabar Mess,No,No,3.7/5,43,"+91 9035317190
+91 9448779102",Bannerghatta Road,Mess,Not Specified,Kerala,250,Delivery,Bannerghatta Road,3.7,250.0,Budget (< ₹300)
"31/8, 1st Main Road, Bhavani Nagar, Suddagunte Palya, Bannerghatta Road, Bangalore",Malabar Cafe,Yes,No,3.3/5,4,"080 45554545
+91 7795494999",Bannerghatta Road,Quick Bites,Not Specified,"South Indian, Kerala, Biryani",400,Delivery,Bannerghatta Road,3.3,400.0,Mid-Tier (₹300 - ₹700)
"4th Floor, Food Court, Bangalore Central Mall, 9th Block, Jayanagar, Bangalore",Tangra Indo - Chinese Cuisine,Yes,No,3.6/5,29,"+91 8884416385
+91 9880361477",Jayanagar,Food Court,Not Specified,"Chinese, Thai",400,Delivery,Bannerghatta Road,3.6,400.0,Mid-Tier (₹300 - ₹700)
"113, Kanak Arcade, 4th Phase, Dollars Layout Main Road, JP Nagar, Bangalore",Juice Junction,Yes,No,2.9/5,19,"080 49518719
+91 9535973735",JP Nagar,Beverage Shop,Not Specified,"Juices, Fast Food",150,Delivery,Bannerghatta Road,2.9,150.0,Budget (< ₹300)
"934, 16th Main Road, Mico Layout, Kuvempu Nagar, 2nd Stage, BTM, Bangalore",Xpress Chai,Yes,No,3.3/5,6,+91 7676561561,BTM,"Beverage Shop, Quick Bites",Not Specified,"Tea, Fast Food",150,Delivery,Bannerghatta Road,3.3,150.0,Budget (< ₹300)
"16, Above Dominos Pizza, Arakere Gate, Bannerghatta Road, Bangalore",Zhangs Classic,Yes,No,2.6/5,170,"+91 7892776107
080 41430988",Bannerghatta Road,Casual Dining,"Chowmein, Chicken Manchow Soup, Momos, Dragon Rolls, Chicken Momo, Hot Pot, Sweet Corn Chicken Soup","Italian, Chinese, Japanese",600,Delivery,Bannerghatta Road,2.6,600.0,Mid-Tier (₹300 - ₹700)
"9, 1st Floor, SBI Building, New DLF New Town, Opposite Ample Mart, Bannerghatta Road, Bangalore.",Biryani Rooh-e-Khaas,Yes,No,NEW,0,+91 8095913131,Bannerghatta Road,Quick Bites,Not Specified,"Biryani, Mughlai",400,Delivery,Bannerghatta Road,,400.0,Mid-Tier (₹300 - ₹700)
"97/2, Gottigere, Bannerghatta Road, Bangalore",Guru Greens,No,No,3.8/5,89,"+91 9845055553
+91 9845955556",Bannerghatta Road,Casual Dining,"Tandoori Chicken, Beer, Pepper Chicken, French Chicken","North Indian, Chinese",550,Delivery,Bannerghatta Road,3.8,550.0,Mid-Tier (₹300 - ₹700)
"1318, Near Bangalore Central, 2nd Phase, JP Nagar, Bangalore",D View Cafe,Yes,No,4.0/5,507,+91 9538943596,JP Nagar,"Cafe, Quick Bites","Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages","1,000",Delivery,Bannerghatta Road,4.0,1000.0,Upper-Mid (₹700 - ₹1500)
"80, Boss Square, Ground Floor, 1st Cross, 2nd Main, Vysya Bank Colony, 2nd Stage, BTM, Bangalore",The Cuboidal,Yes,No,3.6/5,16,"+91 9036606862
+91 9590906862",BTM,Quick Bites,Not Specified,"Fast Food, Beverages, Sandwich",300,Delivery,Bannerghatta Road,3.6,300.0,Mid-Tier (₹300 - ₹700)
"1, second floor, Hulimavu gate, Bannerghatta Road",Delifusion - Hunger Sorted,Yes,No,3.3/5,6,+91 8884044348,Bannerghatta Road,Quick Bites,Not Specified,"Continental, Chinese, North Indian",500,Delivery,Bannerghatta Road,3.3,500.0,Mid-Tier (₹300 - ₹700)
"727, 10th Main, 7th Cross, 2nd Stage, BTM Layout, BTM, Bangalore",Flavour of China,Yes,No,3.8/5,254,"080 41200882
+91 9845406812",BTM,Casual Dining,"Spring Roll, Chilli Chicken, Chowmein, Sweet Corn Chicken Soup, Dragon Chicken, Hakka Noodles, Chop Suey",Chinese,550,Delivery,Bannerghatta Road,3.8,550.0,Mid-Tier (₹300 - ₹700)
"157, Sai Krupa, 1St Cross A Main, Btm Layout, 1St Stage BTM, Bangalore",Al-Marhaba Restaurant,Yes,No,NEW,0,+91 9739607369,BTM,Quick Bites,Not Specified,"Arabian, Chinese, North Indian, Rolls, Momos",400,Delivery,Bannerghatta Road,,400.0,Mid-Tier (₹300 - ₹700)
"56, 3rd Cross Road, R.K Colony, Marenahalli, 2nd Phase, JP Nagar, Bangalore",Gujrati Mess,Yes,No,3.6/5,18,+91 9986824557,JP Nagar,Mess,Not Specified,Gujarati,200,Delivery,Bannerghatta Road,3.6,200.0,Budget (< ₹300)
"77/4, 20th Cross, Kuvempu Nagar, BTM 2 Stage, Opposite Madiwala Lake Main Gate, BTM, Bangalore",Heaven 2 Oven,Yes,No,NEW,0,+91 9731142022,BTM,Quick Bites,Not Specified,Chinese,300,Delivery,Bannerghatta Road,,300.0,Mid-Tier (₹300 - ₹700)
"Amoda Valmark Central Excise Layout, Phase 2, Tejaswini Nagar, Dodda Kamanahalli Area, Bannerghatta Road",Cake-O-Mania,Yes,No,3.4/5,7,+91 9620902494,Bannerghatta Road,"Takeaway, Delivery",Not Specified,"Bakery, Desserts",300,Delivery,Bannerghatta Road,3.4,300.0,Mid-Tier (₹300 - ₹700)
"82/95 Basavanapura, Bannerghatta Road, Bangalore",The Park Inn Restaurant,No,No,3.0/5,18,"+91 9902873733
+91 9743073733",Bannerghatta Road,Quick Bites,Not Specified,"North Indian, Chinese",450,Delivery,Bannerghatta Road,3.0,450.0,Mid-Tier (₹300 - ₹700)
"3rd Floor, Unit TF-K-02 Kiok Vega City Mall, Bannerghatta Road, Bangalore",Green Go,Yes,No,NEW,0,"+91 9620100985
00 553912361",Bannerghatta Road,Beverage Shop,Not Specified,"Beverages, Juices",200,Delivery,Bannerghatta Road,,200.0,Budget (< ₹300)
"Eagle Ridge Resort, Begur- Koppa Road, Near Bannerghatta Road, Bangalore",Eagle Ridge,No,Yes,3.2/5,8,+91 9900543592,Bannerghatta Road,Casual Dining,Not Specified,"South Indian, North Indian, Chinese",700,Delivery,Bannerghatta Road,3.2,700.0,Mid-Tier (₹300 - ₹700)
"1693/A 17th Main Road, Marenahalli, 2nd phase JP Nagar, Bangalore",Vidya Cafe,Yes,No,3.2/5,4,"+91 8095420959
080 48657854",JP Nagar,Quick Bites,Not Specified,"Burger, Fast Food, Desserts, Sandwich",300,Delivery,Bannerghatta Road,3.2,300.0,Mid-Tier (₹300 - ₹700)
"90/3, Shiva Krupa, Opposite Syndicate Bank, Bilekahalli Bus Stop, Bannerghatta Road, Bangalore",Northern Bites,No,No,NEW,0,+91 8296782737,Bannerghatta Road,Quick Bites,Not Specified,"Chinese, North Indian, Biryani",350,Delivery,Bannerghatta Road,,350.0,Mid-Tier (₹300 - ₹700)
"Arekere Village, 80 Feet Road, Opposite Paramount Apartments, Bannerghatta Road, Bangalore",Kabab Treat,Yes,No,2.8/5,334,080 39257409,Bannerghatta Road,Casual Dining,"Biryani, Tandoori Chicken, Chicken Grill, Shawarma Roll","North Indian, Chinese",500,Delivery,Bannerghatta Road,2.8,500.0,Mid-Tier (₹300 - ₹700)
"1,15th Cross, 29th Main, Opposite BTM Park, Stage 2, BTM, Bangalore",Limra Hotel,Yes,No,3.3/5,26,+91 9108803640,BTM,Quick Bites,Not Specified,"Chinese, North Indian",300,Delivery,Bannerghatta Road,3.3,300.0,Mid-Tier (₹300 - ₹700)
"9, 1st Floor, SBI Building, New DLF New Town, Opposite Ample Mart, Bannerghatta Road, Bangalore",Punjabi Unplugged,Yes,No,NEW,0,+91 8095913131,Bannerghatta Road,Quick Bites,Not Specified,North Indian,500,Delivery,Bannerghatta Road,,500.0,Mid-Tier (₹300 - ₹700)
"4th Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",Bangalore Pizza & Pulse Juice Bar,No,No,,0,+91 7829816979,Bannerghatta Road,Food Court,Not Specified,"Juices, Pizza",500,Delivery,Bannerghatta Road,,500.0,Mid-Tier (₹300 - ₹700)
"1274, 2nd Cross, 1st Block, Opposite RMR Park, Devarachikkanahalli Road, BTM 4th Stage, Bannerghatta Road, Bangalore",Pizza On The Way,No,No,NEW,0,+91 8197587642,Bannerghatta Road,Quick Bites,Not Specified,Pizza,300,Delivery,Bannerghatta Road,,300.0,Mid-Tier (₹300 - ₹700)
"7, 17th Cross Road, Mahadeshwara Nagar, Stage 2, BTM, Bangalore",Kafe Nook,Yes,No,3.6/5,35,+91 9066368580,BTM,Quick Bites,Not Specified,Fast Food,300,Delivery,Bannerghatta Road,3.6,300.0,Mid-Tier (₹300 - ₹700)
"Shop 7, 3 Floor, Royal Minakshi Mall, Bannerghatta Road, Bangalore",Kumbha Bhojanam,No,No,3.6/5,11,+91 9148822579,Bannerghatta Road,Food Court,Not Specified,Andhra,300,Delivery,Bannerghatta Road,3.6,300.0,Mid-Tier (₹300 - ₹700)
